identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
9353,Laboratorio de Salud Pública,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2abb4291ae91f010VgnVCM2000000c205a0aRCRD,"CALLE EMIGRANTES, 20",CANILLAS,40.46838219200181,-3.6371890080545435,"Ayuntamiento Madrid,  Otras Entidades Administrativas Ayto"
9422,Centro de Protección Animal,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6a177a7e0a61c010VgnVCM1000000b205a0aRCRD,"CARRETERA BARRIO DE LA FORTUNA, 33",CUATRO VIENTOS,40.363546309643375,-3.778110067286688,Residencias Animales
4535271,Organismo Autónomo Madrid Salud,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7a47c15bfb031110VgnVCM1000000b205a0aRCRD,"AVENIDA MEDITERRANEO, 62",ADELFAS,40.40582949013793,-3.666485680189555,"Ayuntamiento Madrid,  Organismos Empresas Municipales"
9420,"Unidad Técnica de Control de Vectores (ratas, cucarachas)",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9cdd224e0d61c010VgnVCM1000000b205a0aRCRD,"CARRETERA BARRIO DE LA FORTUNA, 33",CUATRO VIENTOS,40.363546309643375,-3.778110067286688,"Ayuntamiento Madrid,  Otras Entidades Administrativas Ayto"
5855213,Centro Concertado de Atención a las Drogodependencias (CCAD) Fúcar (Cruz Roja),0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c5dc3e042111c210VgnVCM2000000c205a0aRCRD,"AVENIDA PORTUGAL, S/N",PUERTA DEL ANGEL,40.41633059885888,-3.7239914257003304,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
134929,Centro Concertado de Atención a las Drogodependencias (CCAD) Cáritas Madrid,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ba654d9d91f010VgnVCM2000000c205a0aRCRD,"CALLE VOLUNTARIOS CATALANES, 69",VALDEACEDERAS,40.46564015740803,-3.704503676083474,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11862,Centro de Atención a las Drogodependencias (CAD) de Latina,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7bc4d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE CAMARENA, 10",ALUCHE,40.39597072367931,-3.7562716852987847,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11863,Centro de Atención a las Drogodependencias (CAD) de Villaverde,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b465d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE VERDE VIENTO, 16",SAN ANDRES,40.35231468998616,-3.717783527602668,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11864,Centro de Atención a las Drogodependencias (CAD) de Vallecas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6e35d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE CONCORDIA, 17",SAN DIEGO,40.39501488341387,-3.665565995938502,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11866,Centro de Atención a las Drogodependencias (CAD) de Tetuán,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1815d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE PINOS ALTA, 122",ALMENARA,40.47084721439769,-3.701561801865397,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
